Year,ActionGeo_CountryCode,goldstein_score,tone
2023,NO,1.69,-0.82
2023,QA,2.3,0.67
2023,BE,1.45,-1.18
2023,RP,1.01,-0.85
2023,FR,0.82,-1.38
2023,HQ,2.17,0.77
2023,CE,1.24,-1.04
2023,TL,2.09,-0.16
2023,BN,0.71,-1.05
2023,BX,1.42,-0.03
2023,FM,2.4,0.52
2023,IR,0.19,-3.18
2023,CN,1.97,-0.64
2023,JA,1.58,-0.53
2023,TI,1.86,-0.4
2023,TN,1.82,0.15
2023,CD,0.1,-3.94
2023,TD,0.48,-1.6
2023,BG,1.04,-1.19
2023,GK,2.32,0.56
2023,CF,0.42,-3.01
2023,DQ,0,1.85
2023,LE,-0.02,-3.23
2023,OS,0.79,-2
2023,BR,1.05,-1.64
2023,PP,2.31,0.14
2023,GG,0.68,-2.1
2023,SP,1.06,-0.91
2023,KT,1.92,-1.68
2023,NP,1.38,-0.76
2023,SI,1.84,0.2
2023,YI,-0.96,-3.64
2023,AG,1.12,-1.48
2023,EG,1.41,-1.4
2023,YM,0.74,-2.92
2023,IZ,0.23,-2.54
2023,PF,-0.61,-2.62
2023,CH,1.26,-1.04
2023,DR,1.4,-0.68
2023,WZ,-0.48,-3.06
2023,BV,2.2,-1.74
2023,BU,1.23,-1.13
2023,GY,1.03,-0.98
2023,PO,1.25,-0.76
2023,MA,1.39,-0.82
2023,PL,1.18,-1.74
2023,TU,1.34,-1.66
2023,ID,1.67,-0.39
2023,NR,1.53,-2.16
2023,EU,0,-4.62
2023,BC,1.53,-0.06
2023,DJ,1.74,-1.72
2023,SW,1.18,-1.5
2023,SB,0.93,-0.28
2023,SV,1.9,-0.79
2023,UY,2.15,0.57
2023,ML,0.06,-3.35
2023,MP,1.73,0.15
2023,NS,2.4,0.51
2023,CU,1.36,-1.19
2023,RO,1.48,-0.85
2023,LG,1.38,-0.56
2023,TW,1.18,-1.06
2023,VI,1.66,-0.65
2023,CS,1.5,-0.13
2023,ET,1.24,-1.63
2023,LI,1.03,-0.79
2023,LQ,2.32,2.78
2023,GT,0.55,-2.58
